Ticker,sharedate,HighPrice,LowPrice,ClosePrice
NVDA,11/14/2025,191.01,180.58,190.17
NVDA,11/17/2025,189,184.32,186.6
NVDA,11/18/2025,184.8,179.65,181.36
NVDA,11/19/2025,187.855,182.8301,186.52
NVDA,11/20/2025,196,179.85,180.64
NVDA,11/21/2025,184.56,172.93,178.88
NVDA,11/24/2025,183.5,176.48,182.55
NVDA,11/25/2025,178.16,169.55,177.82
NVDA,11/26/2025,182.91,178.24,180.26
NVDA,11/28/2025,179.29,176.5,177
NVDA,12/1/2025,180.3,173.68,179.92
NVDA,12/2/2025,185.66,180,181.46
NVDA,12/3/2025,182.45,179.1101,179.59
NVDA,12/4/2025,184.515,179.96,183.38
NVDA,12/5/2025,184.66,180.91,182.41
NVDA,12/8/2025,188,182.4,185.55
NVDA,12/9/2025,185.7167,183.32,184.97
NVDA,12/10/2025,185.48,182.035,183.78
NVDA,12/11/2025,181.32,176.62,180.93
NVDA,12/12/2025,182.82,174.62,175.02
NVDA,12/15/2025,178.415,175.03,176.29
NVDA,12/16/2025,178.49,174.9,177.72
NVDA,12/17/2025,176.13,170.31,170.94
NVDA,12/18/2025,176.15,171.82,174.14
NVDA,12/19/2025,181.45,176.34,180.99
NVDA,12/22/2025,184.16,182.35,183.69
NVDA,12/23/2025,189.33,182.9,189.21
NVDA,12/24/2025,188.91,186.59,188.61
NVDA,12/26/2025,192.69,188,190.53
NVDA,12/29/2025,188.755,185.91,188.22
NVDA,12/30/2025,188.99,186.93,187.54
NVDA,12/31/2025,190.56,186.49,186.5
NVDA,1/2/2026,192.9299,188.26,188.85
NVDA,1/5/2026,193.63,186.15,188.12
NVDA,1/6/2026,192.174,186.82,187.24
NVDA,1/7/2026,191.37,186.56,189.11
NVDA,1/8/2026,189.55,183.71,185.04
NVDA,1/9/2026,186.34,183.6701,184.86
NVDA,1/12/2026,187.12,183.02,184.94
NVDA,1/13/2026,188.1099,183.4,185.81
NVDA,1/14/2026,184.46,180.8,183.14
NVDA,1/15/2026,189.7,186.33,187.05
NVDA,1/16/2026,190.44,186.08,186.23
NVDA,1/20/2026,182.3786,177.61,178.07
NVDA,1/21/2026,185.379,178.4,183.32
NVDA,1/22/2026,186.17,183.93,184.84
NVDA,1/23/2026,189.6,186.8233,187.67
NVDA,1/26/2026,189.12,185.99,186.47
NVDA,1/27/2026,190,185.7,188.52
NVDA,1/28/2026,192.35,189.84,191.52
NVDA,1/29/2026,193.48,186.06,192.51
NVDA,1/30/2026,194.49,189.47,191.13
NVDA,2/2/2026,190.3,184.88,185.61
NVDA,2/3/2026,186.27,176.23,180.34
NVDA,2/4/2026,179.58,171.91,174.19
NVDA,2/5/2026,176.815,171.03,171.88
NVDA,2/6/2026,187,174.6,185.41
